title,author,publisher,isbn10,isbn13,language,pubdate,ol_work_key,image_url,source,description,key_isbn,key_ta,cover_i,title_norm,author_norm,year,_year_bucket,_text,item_id,themes
Wizard of the Crow,Ngũgĩ wa Thiong'o,,,,Gikuyu,2006-01-01,OL15286151W,,wikidata,,,wizard of the crow | ngugi wa thiong o,,wizard of the crow,ngugi wa thiong o,2006.0,05-14,"Wizard of the Crow 
Ngũgĩ wa Thiong'o 
",10,"['Power of language', 'Folklore and oral traditions', 'Indigenous knowledge']"
Going Down River Road,Meja Mwangi,Houghton Mifflin Harcourt,0-9820126-3-2,,English,2014-06-22,,,wikidata,,0-9820126-3-2,going down river road | meja mwangi,,going down river road,meja mwangi,2014.0,05-14,"Going Down River Road 
Meja Mwangi 
Houghton Mifflin Harcourt",11,"['Urbanization', 'Urban vs rural life', 'Bad governance']"
The Dragonfly Sea,Yvonne Adhiambo Owuor,Alfred A. Knopf,,,English,2019-01-01,,,wikidata,,,the dragonfly sea | yvonne adhiambo owuor,,the dragonfly sea,yvonne adhiambo owuor,2019.0,15-19,"The Dragonfly Sea 
Yvonne Adhiambo Owuor 
Alfred A. Knopf",12,"['Urban vs rural life', 'Oppression', 'Gender roles and feminism']"
Manukato ya wa mbeja,Ahmed Sheikh Nabhany,,,,Swahili,,,,wikidata,,,manukato ya wa mbeja | ahmed sheikh nabhany,,manukato ya wa mbeja,ahmed sheikh nabhany,,,"Manukato ya wa mbeja 
Ahmed Sheikh Nabhany 
",13,"['Bad governance', 'Gender roles and feminism', 'Religion and spirituality']"
Q132731040,Barack Obama,,,,Indonesian,2008-01-01,,,wikidata,,,q132731040 | barack obama,,q132731040,barack obama,2008.0,05-14,"Q132731040 
Barack Obama 
",14,"['Identity crisis', 'Community solidarity', 'Civic responsibility']"
Detained: A Writer's Prison Diary,Ngũgĩ wa Thiong'o,Heinemann,0-435-90240-7,978-0-435-90240-7,English,1982-01-01,,,wikidata,,978-0-435-90240-7,detained: a writer s prison diary | ngugi wa thiong o,,detained a writer s prison diary,ngugi wa thiong o,1982.0,80-94,"Detained: A Writer's Prison Diary 
Ngũgĩ wa Thiong'o 
Heinemann",15,"['Oppression', 'Justice and injustice', 'Poverty']"
Facing Mount Kenya,Jomo Kenyatta,Harvill Secker,,,English,1938-01-01,,,wikidata,,,facing mount kenya | jomo kenyatta,,facing mount kenya,jomo kenyatta,1938.0,<1960,"Facing Mount Kenya 
Jomo Kenyatta 
Harvill Secker",16,"['Wealth and materialism', 'Bad governance', 'Generosity']"
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,James Currey,0-85255-501-6,978-0-85255-501-9,English,1986-06-26,,,wikidata,,978-0-85255-501-9,decolonising the mind: the politics of language in african literature | ngugi wa thiong o,,decolonising the mind the politics of language in african literature,ngugi wa thiong o,1986.0,80-94,"Decolonising the Mind: The Politics of Language in African Literature 
Ngũgĩ wa Thiong'o 
James Currey",17,"['Power of language', 'Wealth and materialism', 'Oppression']"
Betrayal in the City,Francis D. Imbuga,"East African Educational Publishers, Kenya",,,English,1976-12-29,OL3451029W,,wikidata,,,betrayal in the city | francis d imbuga,,betrayal in the city,francis d imbuga,1976.0,60-79,"Betrayal in the City 
Francis D. Imbuga 
East African Educational Publishers, Kenya",18,"['Wealth and materialism', 'Bad governance', 'Greed']"
Haki za watoto,Ustadh Mau,,,,Swahili,,,,wikidata,,,haki za watoto | ustadh mau,,haki za watoto,ustadh mau,,,"Haki za watoto 
Ustadh Mau 
",19,"['Wealth and materialism', 'Community solidarity', 'Gender roles and feminism']"
The Heart of a Stranger: An Anthology of Exile Literature,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2020-01-14,,,wikidata,,,the heart of a stranger: an anthology of exile literature | ngugi wa thiong o,,the heart of a stranger an anthology of exile literature,ngugi wa thiong o,2020.0,15-19,"The Heart of a Stranger: An Anthology of Exile Literature 
Ngũgĩ wa Thiong'o 
Amazon Kindle",20,"['Folklore and oral traditions', 'Poverty', 'Storytelling as resistance']"
The Cockroach Dance,Meja Mwangi,Houghton Mifflin Harcourt,1-5485-8057-0,,English,2013-08-06,,,wikidata,,1-5485-8057-0,the cockroach dance | meja mwangi,,the cockroach dance,meja mwangi,2013.0,05-14,"The Cockroach Dance 
Meja Mwangi 
Houghton Mifflin Harcourt",21,"['Power of language', 'Conflict in families', 'Indigenous knowledge']"
"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey",Louis Leakey,,,,,1951-01-01,,,wikidata,,,preliminary excavations of a mesolithic site at abinger common surrey | louis leakey,,preliminary excavations of a mesolithic site at abinger common surrey,louis leakey,1951.0,<1960,"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey 
Louis Leakey 
",22,"['Generosity', 'Resource exploitation', 'Land and displacement']"
Petals of Blood,Ngũgĩ wa Thiong'o,Heinemann,,,Gikuyu,1977-01-01,,,wikidata,,,petals of blood | ngugi wa thiong o,,petals of blood,ngugi wa thiong o,1977.0,60-79,"Petals of Blood 
Ngũgĩ wa Thiong'o 
Heinemann",23,"['Naming and symbolism', 'Wealth and materialism', 'Trauma and healing']"
The Climate Book,Wanjira Mathai,,,,English,2022-10-27,OL27820822W,,wikidata,,,the climate book | wanjira mathai,,the climate book,wanjira mathai,2022.0,2020+,"The Climate Book 
Wanjira Mathai 
",24,"['Climate and nature', 'Environmental conservation', 'Urban vs rural life']"
Without kiinua mgongo,David Maillu,,,,Sheng,1989-01-01,OL1785981W,,wikidata,,,without kiinua mgongo | david maillu,,without kiinua mgongo,david maillu,1989.0,80-94,"Without kiinua mgongo 
David Maillu 
",25,"['Poverty', 'Religion and spirituality', 'Dreams and ambitions']"
Burying Caesar,Meja Mwangi,Independently Published book edition,88-565-2671-3,,English,2023-08-09,,,wikidata,,88-565-2671-3,burying caesar | meja mwangi,,burying caesar,meja mwangi,2023.0,2020+,"Burying Caesar 
Meja Mwangi 
Independently Published book edition",26,"['Indigenous knowledge', 'Hope and despair', 'Environmental conservation']"
Writers in Politics,Ngũgĩ wa Thiong'o,Heinemann,0-435-91751-X,978-0-435-91751-7,English,1981-01-01,,,wikidata,,978-0-435-91751-7,writers in politics | ngugi wa thiong o,,writers in politics,ngugi wa thiong o,1981.0,80-94,"Writers in Politics 
Ngũgĩ wa Thiong'o 
Heinemann",27,"['Poverty', 'Political violence', 'Bad governance']"
Uhuru wa Watumwa,James Mbotela,,,,,,,,wikidata,,,uhuru wa watumwa | james mbotela,,uhuru wa watumwa,james mbotela,,,"Uhuru wa Watumwa 
James Mbotela 
",28,"['Post-independence struggles', 'Wealth and materialism', 'Migration and diaspora']"
The New Harvest: Agricultural Innovation in Africa,Calestous Juma,,,,,2011-01-01,,,wikidata,,,the new harvest: agricultural innovation in africa | calestous juma,,the new harvest agricultural innovation in africa,calestous juma,2011.0,05-14,"The New Harvest: Agricultural Innovation in Africa 
Calestous Juma 
",29,"['Wealth and materialism', 'Greed', 'Environmental conservation']"
Of Thee I Sing,Barack Obama,Alfred A. Knopf,,,English,2010-01-01,OL15897399W,,wikidata,,,of thee i sing | barack obama,,of thee i sing,barack obama,2010.0,05-14,"Of Thee I Sing 
Barack Obama 
Alfred A. Knopf",30,"['Silence and voice', 'Greed', 'Religion and spirituality']"
Travelling while Black,Nanjala Nyabola,Hurst & Co.,,,English,2020-01-01,OL25758708W,,wikidata,,,travelling while black | nanjala nyabola,,travelling while black,nanjala nyabola,2020.0,15-19,"Travelling while Black 
Nanjala Nyabola 
Hurst & Co.",31,"['Dreams and ambitions', 'Bad governance', 'Marriage and relationships']"
Unbowed,Wangari Muta Maathai,,,,English,2006-10-03,OL15606734M,,wikidata,,,unbowed | wangari muta maathai,,unbowed,wangari muta maathai,2006.0,05-14,"Unbowed 
Wangari Muta Maathai 
",32,"['Marriage and relationships', 'Poverty', 'Morality and ethics']"
The Perfect Nine,Ngũgĩ wa Thiong'o,Harvill Secker,,,English,2020-10-08,,,wikidata,,,the perfect nine | ngugi wa thiong o,,the perfect nine,ngugi wa thiong o,2020.0,15-19,"The Perfect Nine 
Ngũgĩ wa Thiong'o 
Harvill Secker",33,"['Power of language', 'Justice and injustice', 'Trauma and healing']"
Links of a Chain,Monica Genya,,,,,,,,wikidata,,,links of a chain | monica genya,,links of a chain,monica genya,,,"Links of a Chain 
Monica Genya 
",34,"['Bad governance', 'Morality and ethics', 'Parent-child relationships']"
Secure the Base,Ngũgĩ wa Thiong'o,Seagull Books,,,English,2016-01-01,OL26221969W,,wikidata,,,secure the base | ngugi wa thiong o,,secure the base,ngugi wa thiong o,2016.0,15-19,"Secure the Base 
Ngũgĩ wa Thiong'o 
Seagull Books",35,"['Resource exploitation', 'Environmental conservation', 'Generosity']"
Secret Lives and Other Stories,Ngũgĩ wa Thiong'o,,,,English,1975-01-01,OL10244W,,wikidata,,,secret lives and other stories | ngugi wa thiong o,,secret lives and other stories,ngugi wa thiong o,1975.0,60-79,"Secret Lives and Other Stories 
Ngũgĩ wa Thiong'o 
",36,"['Folklore and oral traditions', 'Identity crisis', 'Religion and spirituality']"
Matigari A Novel,Ngũgĩ wa Thiong'o,Africa World Press,,,English,1998-01-01,,,wikidata,,,matigari a novel | ngugi wa thiong o,,matigari a novel,ngugi wa thiong o,1998.0,95-04,"Matigari A Novel 
Ngũgĩ wa Thiong'o 
Africa World Press",37,"['Wealth and materialism', 'Greed', 'Folklore and oral traditions']"
The River Between,Ngũgĩ wa Thiong'o,"East African Educational Publishers, Kenya",,,English,1965-01-01,OL10246W,,wikidata,,,the river between | ngugi wa thiong o,,the river between,ngugi wa thiong o,1965.0,60-79,"The River Between 
Ngũgĩ wa Thiong'o 
East African Educational Publishers, Kenya",38,"['Wealth and materialism', 'Environmental conservation', 'Bad governance']"
Ngugi Wa Thiong'o's drama and the kamiriithu popular theater experiment by Gichingiri Ndingiriri,Ngũgĩ wa Thiong'o,Africa World Press,,,English,2007-01-01,,,wikidata,,,ngugi wa thiong o s drama and the kamiriithu popular theater experiment by gichingiri ndingiriri | ngugi wa thiong o,,ngugi wa thiong o s drama and the kamiriithu popular theater experiment by gichingiri ndingiriri,ngugi wa thiong o,2007.0,05-14,"Ngugi Wa Thiong'o's drama and the kamiriithu popular theater experiment by Gichingiri Ndingiriri 
Ngũgĩ wa Thiong'o 
Africa World Press",39,"['Wealth and materialism', 'Oppression', 'Folklore and oral traditions']"
Kwani,Binyavanga Wainaina,,9966-9836-6-X,978-9966-9836-6-4,English,2007-01-01,,,wikidata,,978-9966-9836-6-4,kwani | binyavanga wainaina,,kwani,binyavanga wainaina,2007.0,05-14,"Kwani 
Binyavanga Wainaina 
",40,"['Wealth and materialism', 'Religion and spirituality', 'Bad governance']"
The scar : a tragedy in one act,Rebeka Njau,,,,English,,,,wikidata,,,the scar : a tragedy in one act | rebeka njau,,the scar a tragedy in one act,rebeka njau,,,"The scar : a tragedy in one act 
Rebeka Njau 
",41,"['Trauma and healing', 'Naming and symbolism', 'Morality and ethics']"
Son of Woman,Charles Mangua,,,,,1971-01-01,,,wikidata,,,son of woman | charles mangua,,son of woman,charles mangua,1971.0,60-79,"Son of Woman 
Charles Mangua 
",42,"['Parent-child relationships', 'Conflict in families', 'Marriage and relationships']"
Game of silence,Francis D. Imbuga,Heinemann,,,English,1977-01-01,,,wikidata,,,game of silence | francis d imbuga,,game of silence,francis d imbuga,1977.0,60-79,"Game of silence 
Francis D. Imbuga 
Heinemann",43,"['Silence and voice', 'Fate and free will', 'Selfishness']"
Siku Njema,Ken Waliaula,,,,Swahili,1996-01-01,OL19393891W,,wikidata,,,siku njema | ken waliaula,,siku njema,ken waliaula,1996.0,95-04,"Siku Njema 
Ken Waliaula 
",44,"['Conflict in families', 'Wealth and materialism', 'Trauma and healing']"
Maps of Englishness,Simon Gikandi,Columbia University Press,0-231-07611-8,978-0-231-07611-1,English,1996-04-15,,,wikidata,,978-0-231-07611-1,maps of englishness | simon gikandi,,maps of englishness,simon gikandi,1996.0,95-04,"Maps of Englishness 
Simon Gikandi 
Columbia University Press",45,"['Ethnic diversity', 'Post-independence struggles', 'Education and opportunity']"
Red Strangers,Elspeth Huxley,Chatto & Windus,,,English,1939-01-01,OL56150W,,wikidata,,,red strangers | elspeth huxley,,red strangers,elspeth huxley,1939.0,<1960,"Red Strangers 
Elspeth Huxley 
Chatto & Windus",46,"['Generosity', 'Storytelling as resistance', 'Education and opportunity']"
The Colombia Guide to East African Literature in English Since 1945,Simon Gikandi,Columbia University,,,English,2007-01-01,,,wikidata,,,the colombia guide to east african literature in english since 1945 | simon gikandi,,the colombia guide to east african literature in english since 1945,simon gikandi,2007.0,05-14,"The Colombia Guide to East African Literature in English Since 1945 
Simon Gikandi 
Columbia University",47,"['Ethnic diversity', 'Wealth and materialism', 'Storytelling as resistance']"
The Perfect Nine: The Epic Gikuyu and Mumbi,Ngũgĩ wa Thiong'o,,,,Gikuyu,2020-01-01,,,wikidata,,,the perfect nine: the epic gikuyu and mumbi | ngugi wa thiong o,,the perfect nine the epic gikuyu and mumbi,ngugi wa thiong o,2020.0,15-19,"The Perfect Nine: The Epic Gikuyu and Mumbi 
Ngũgĩ wa Thiong'o 
",48,"['Urban vs rural life', 'Trauma and healing', 'Religion and spirituality']"
The Mzungu Boy,Meja Mwangi,,,,,2006-01-01,,,wikidata,,,the mzungu boy | meja mwangi,,the mzungu boy,meja mwangi,2006.0,05-14,"The Mzungu Boy 
Meja Mwangi 
",49,"['Parent-child relationships', 'Urban vs rural life', 'Marriage and relationships']"
The Trial of Dedan Kimathi,Ngũgĩ wa Thiong'o,,0-435-90191-5,978-0-435-90191-2,English,1977-01-01,,,wikidata,,978-0-435-90191-2,the trial of dedan kimathi | ngugi wa thiong o,,the trial of dedan kimathi,ngugi wa thiong o,1977.0,60-79,"The Trial of Dedan Kimathi 
Ngũgĩ wa Thiong'o 
",50,"['Bad governance', 'Justice and injustice', 'Oppression']"
Matigari ma Njiruungi,Ngũgĩ wa Thiong'o,,,,Gikuyu,1986-01-01,,,wikidata,,,matigari ma njiruungi | ngugi wa thiong o,,matigari ma njiruungi,ngugi wa thiong o,1986.0,80-94,"Matigari ma Njiruungi 
Ngũgĩ wa Thiong'o 
",51,"['Wealth and materialism', 'Power of language', 'Environmental conservation']"
The Black Hermit,Ngũgĩ wa Thiong'o,,,,English,1963-01-01,,,wikidata,,,the black hermit | ngugi wa thiong o,,the black hermit,ngugi wa thiong o,1963.0,60-79,"The Black Hermit 
Ngũgĩ wa Thiong'o 
",52,"['Indigenous knowledge', 'Religion and spirituality', 'Ethnic diversity']"
Devil on the Cross,Ngũgĩ wa Thiong'o,,,,Gikuyu,1980-01-01,,,wikidata,,,devil on the cross | ngugi wa thiong o,,devil on the cross,ngugi wa thiong o,1980.0,60-79,"Devil on the Cross 
Ngũgĩ wa Thiong'o 
",53,"['Religion and spirituality', 'Conflict in families', 'Wealth and materialism']"
A Promised Land,Barack Obama,,,,English,2020-11-17,OL22235242W,,wikidata,,,a promised land | barack obama,,a promised land,barack obama,2020.0,15-19,"A Promised Land 
Barack Obama 
",54,"['Post-independence struggles', 'Civic responsibility', 'Environmental conservation']"
Ngaahika Ndeenda,Ngũgĩ wa Thiong'o,,,,Gikuyu,,,,wikidata,,,ngaahika ndeenda | ngugi wa thiong o,,ngaahika ndeenda,ngugi wa thiong o,,,"Ngaahika Ndeenda 
Ngũgĩ wa Thiong'o 
",55,"['Power of language', 'Religion and spirituality', 'Conflict in families']"
Olympic Dream,Henry Rono,,,,,2007-01-01,,,wikidata,,,olympic dream | henry rono,,olympic dream,henry rono,2007.0,05-14,"Olympic Dream 
Henry Rono 
",56,"['Dreams and ambitions', 'Greed', 'Traditional beliefs']"
How to Write About Africa,Binyavanga Wainaina,,,,English,2023-01-01,OL27408746W,,wikidata,,,how to write about africa | binyavanga wainaina,,how to write about africa,binyavanga wainaina,2023.0,2020+,"How to Write About Africa 
Binyavanga Wainaina 
",57,"['Wealth and materialism', 'Post-independence struggles', 'Ethnic diversity']"
The Green Cross of Kafira,Francis D. Imbuga,,,,English,2013-12-29,OL17457385W,,wikidata,,,the green cross of kafira | francis d imbuga,,the green cross of kafira,francis d imbuga,2013.0,05-14,"The Green Cross of Kafira 
Francis D. Imbuga 
",58,"['Indigenous knowledge', 'Naming and symbolism', 'Ethnic diversity']"
Minutes of Glory: And Other Stories,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2019-03-05,,,wikidata,,,minutes of glory: and other stories | ngugi wa thiong o,,minutes of glory and other stories,ngugi wa thiong o,2019.0,15-19,"Minutes of Glory: And Other Stories 
Ngũgĩ wa Thiong'o 
Amazon Kindle",59,"['Folklore and oral traditions', 'Storytelling as resistance', 'Morality and ethics']"
Barrel of a pen,Ngũgĩ wa Thiong'o,New Beacon Books,,,English,1983-01-01,OL2638775W,,wikidata,,,barrel of a pen | ngugi wa thiong o,,barrel of a pen,ngugi wa thiong o,1983.0,80-94,"Barrel of a pen 
Ngũgĩ wa Thiong'o 
New Beacon Books",60,"['Resource exploitation', 'Indigenous knowledge', 'Power of language']"
Decolonising the Mind,Ngũgĩ wa Thiong'o,,,,English,1986-01-01,,,wikidata,,,decolonising the mind | ngugi wa thiong o,,decolonising the mind,ngugi wa thiong o,1986.0,80-94,"Decolonising the Mind 
Ngũgĩ wa Thiong'o 
",61,"['Oppression', 'Traditional beliefs', 'Power of language']"
Origins,Richard Leakey,,,,English,1977-01-01,OL2921842W,,wikidata,,,origins | richard leakey,,origins,richard leakey,1977.0,60-79,"Origins 
Richard Leakey 
",62,"['Storytelling as resistance', 'Generosity', 'Leadership and betrayal']"
How to be kenyan,Wahome Mutahi,"East African Educational Publishers, Kenya",,,English,2001-01-01,,,wikidata,,,how to be kenyan | wahome mutahi,,how to be kenyan,wahome mutahi,2001.0,95-04,"How to be kenyan 
Wahome Mutahi 
East African Educational Publishers, Kenya",63,"['Bad governance', 'Wealth and materialism', 'Education and opportunity']"
Carcase for Hounds,Meja Mwangi,,,,English,1974-01-01,,,wikidata,,,carcase for hounds | meja mwangi,,carcase for hounds,meja mwangi,1974.0,60-79,"Carcase for Hounds 
Meja Mwangi 
",64,"['Greed', 'Marriage and relationships', 'Dreams and ambitions']"
"Kiswahili, past, present and future horizons",Rocha Chimera,,,978-9966-846-35-8,,1998-01-01,,,wikidata,,978-9966-846-35-8,kiswahili past present and future horizons | rocha chimera,,kiswahili past present and future horizons,rocha chimera,1998.0,95-04,"Kiswahili, past, present and future horizons 
Rocha Chimera 
",65,"['Wealth and materialism', 'Religion and spirituality', 'Fate and free will']"
Coming to birth,Marjorie Oludhe Macgoye,Heinemann,,978-0-435-90670-7,English,1986-01-01,,,wikidata,,978-0-435-90670-7,coming to birth | marjorie oludhe macgoye,,coming to birth,marjorie oludhe macgoye,1986.0,80-94,"Coming to birth 
Marjorie Oludhe Macgoye 
Heinemann",66,"['Selfishness', 'Parent-child relationships', 'Poverty']"
"Weep Not, Child",Ngũgĩ wa Thiong'o,Heinemann,,,English,1964-01-01,OL10245W,,wikidata,,,weep not child | ngugi wa thiong o,,weep not child,ngugi wa thiong o,1964.0,60-79,"Weep Not, Child 
Ngũgĩ wa Thiong'o 
Heinemann",67,"['Parent-child relationships', 'Poverty', 'Hope and despair']"
To Stir the Heart,Ngũgĩ wa Thiong'o,The Feminist Press,,,English,2007-06-01,OL2527684W,,wikidata,,,to stir the heart | ngugi wa thiong o,,to stir the heart,ngugi wa thiong o,2007.0,05-14,"To Stir the Heart 
Ngũgĩ wa Thiong'o 
The Feminist Press",68,"['Gender roles and feminism', 'Oppression', 'Political violence']"
A Grain of Wheat,Ngũgĩ wa Thiong'o,Heinemann,,,English,1967-01-01,,,wikidata,,,a grain of wheat | ngugi wa thiong o,,a grain of wheat,ngugi wa thiong o,1967.0,60-79,"A Grain of Wheat 
Ngũgĩ wa Thiong'o 
Heinemann",69,"['Climate and nature', 'Wealth and materialism', 'Poverty']"
The Promised Land,Grace Emily Akinyi Ogot,"East African Educational Publishers, Kenya",,,English,2000-01-01,OL5350878W,,wikidata,,,the promised land | grace emily akinyi ogot,,the promised land,grace emily akinyi ogot,2000.0,95-04,"The Promised Land 
Grace Emily Akinyi Ogot 
East African Educational Publishers, Kenya",70,"['Wealth and materialism', 'Greed', 'Generosity']"
My Mother's Poem and Other Songs,Micere Githae Mugo,"East African Educational Publishers, Kenya",9966-46-499-9,978-9966-46-499-6,English,1998-01-01,,,wikidata,,978-9966-46-499-6,my mother s poem and other songs | micere githae mugo,,my mother s poem and other songs,micere githae mugo,1998.0,95-04,"My Mother's Poem and Other Songs 
Micere Githae Mugo 
East African Educational Publishers, Kenya",71,"['Wealth and materialism', 'Community solidarity', 'Generosity']"
THE DEAD CAME CALLING,Ndũcũ wa Ngũgĩ,"East African Educational Publishers, Kenya",,,English,2018-01-01,,,wikidata,,,the dead came calling | nducu wa ngugi,,the dead came calling,nducu wa ngugi,2018.0,15-19,"THE DEAD CAME CALLING 
Ndũcũ wa Ngũgĩ 
East African Educational Publishers, Kenya",72,"['Wealth and materialism', 'Bad governance', 'Greed']"
The Audacity of Hope,Barack Obama,Crown Publishing Group,,,English,2006-10-01,OL15834647W,,wikidata,,,the audacity of hope | barack obama,,the audacity of hope,barack obama,2006.0,05-14,"The Audacity of Hope 
Barack Obama 
Crown Publishing Group",73,"['Community solidarity', 'Youth and unemployment', 'Post-independence struggles']"
The Strange Bride,Grace Emily Akinyi Ogot,"East African Educational Publishers, Kenya",,,English,,OL5350875W,,wikidata,,,the strange bride | grace emily akinyi ogot,,the strange bride,grace emily akinyi ogot,,,"The Strange Bride 
Grace Emily Akinyi Ogot 
East African Educational Publishers, Kenya",74,"['Wealth and materialism', 'Family unity', 'Indigenous knowledge']"
The Big Chiefs,Meja Mwangi,Amazon Publishing,,,English,2017-06-24,OL41694514W,,wikidata,,,the big chiefs | meja mwangi,,the big chiefs,meja mwangi,2017.0,15-19,"The Big Chiefs 
Meja Mwangi 
Amazon Publishing",75,"['Post-independence struggles', 'Gender roles and feminism', 'Hard work']"
Olduvai Gorge; a report on the evolution of the hand-axe culture in beds I-IV,Louis Leakey,,,,English,1951-01-01,OL2056206W,,wikidata,,,olduvai gorge; a report on the evolution of the hand axe culture in beds i iv | louis leakey,,olduvai gorge a report on the evolution of the hand axe culture in beds i iv,louis leakey,1951.0,<1960,"Olduvai Gorge; a report on the evolution of the hand-axe culture in beds I-IV 
Louis Leakey 
",76,"['Indigenous knowledge', 'Cultural heritage', 'Ethnic diversity']"
Slavery and the Culture of Taste,Simon Gikandi,Princeton University,,,English,2014-04-01,,,wikidata,,,slavery and the culture of taste | simon gikandi,,slavery and the culture of taste,simon gikandi,2014.0,05-14,"Slavery and the Culture of Taste 
Simon Gikandi 
Princeton University",77,"['Oppression', 'Ethnic diversity', 'Poverty']"
Mtawa Mweusi,Ngũgĩ wa Thiong'o,"East African Educational Publishers, Kenya",,,,1970-01-01,,,wikidata,,,mtawa mweusi | ngugi wa thiong o,,mtawa mweusi,ngugi wa thiong o,1970.0,60-79,"Mtawa Mweusi 
Ngũgĩ wa Thiong'o 
East African Educational Publishers, Kenya",78,"['Wealth and materialism', 'Bad governance', 'Environmental conservation']"
Q24937593,Ben Kane,,,,,2012-01-01,,,wikidata,,,q24937593 | ben kane,,q24937593,ben kane,2012.0,05-14,"Q24937593 
Ben Kane 
",79,"['Parent-child relationships', 'Community solidarity', 'Oppression']"
Q24937606,Ben Kane,,,,,2013-01-01,,,wikidata,,,q24937606 | ben kane,,q24937606,ben kane,2013.0,05-14,"Q24937606 
Ben Kane 
",80,"['Parent-child relationships', 'Generosity', 'Oppression']"
El brujo del cuervo,Ngũgĩ wa Thiong'o,Amazon Kindle,,,Spanish,2015-10-12,,,wikidata,,,el brujo del cuervo | ngugi wa thiong o,,el brujo del cuervo,ngugi wa thiong o,2015.0,05-14,"El brujo del cuervo 
Ngũgĩ wa Thiong'o 
Amazon Kindle",81,"['Conflict in families', 'Post-independence struggles', 'Power of language']"
Writing in Limbo,Simon Gikandi,Cornell University Press,,,English,1992-03-01,,,wikidata,,,writing in limbo | simon gikandi,,writing in limbo,simon gikandi,1992.0,80-94,"Writing in Limbo 
Simon Gikandi 
Cornell University Press",82,"['Post-independence struggles', 'Storytelling as resistance', 'Mental health']"
