title,author,themes
The Perfect Nine,Ngũgĩ wa Thiong'o,"['Power of language', 'Justice and injustice', 'Trauma and healing']"
Links of a Chain,Monica Genya,"['Bad governance', 'Morality and ethics', 'Parent-child relationships']"
Secure the Base,Ngũgĩ wa Thiong'o,"['Resource exploitation', 'Environmental conservation', 'Generosity']"
Secret Lives and Other Stories,Ngũgĩ wa Thiong'o,"['Folklore and oral traditions', 'Identity crisis', 'Religion and spirituality']"
Matigari A Novel,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Greed', 'Folklore and oral traditions']"
The River Between,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Environmental conservation', 'Bad governance']"
Ngugi Wa Thiong'o's drama and the kamiriithu popular theater experiment by Gichingiri Ndingiriri,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Oppression', 'Folklore and oral traditions']"
Kwani,Binyavanga Wainaina,"['Wealth and materialism', 'Religion and spirituality', 'Bad governance']"
The scar : a tragedy in one act,Rebeka Njau,"['Trauma and healing', 'Naming and symbolism', 'Morality and ethics']"
Son of Woman,Charles Mangua,"['Parent-child relationships', 'Conflict in families', 'Marriage and relationships']"
Game of silence,Francis D. Imbuga,"['Silence and voice', 'Fate and free will', 'Selfishness']"
Siku Njema,Ken Waliaula,"['Conflict in families', 'Wealth and materialism', 'Trauma and healing']"
Maps of Englishness,Simon Gikandi,"['Ethnic diversity', 'Post-independence struggles', 'Education and opportunity']"
Red Strangers,Elspeth Huxley,"['Generosity', 'Storytelling as resistance', 'Education and opportunity']"
The Colombia Guide to East African Literature in English Since 1945,Simon Gikandi,"['Ethnic diversity', 'Wealth and materialism', 'Storytelling as resistance']"
The Perfect Nine: The Epic Gikuyu and Mumbi,Ngũgĩ wa Thiong'o,"['Urban vs rural life', 'Trauma and healing', 'Religion and spirituality']"
The Mzungu Boy,Meja Mwangi,"['Parent-child relationships', 'Urban vs rural life', 'Marriage and relationships']"
The Trial of Dedan Kimathi,Ngũgĩ wa Thiong'o,"['Bad governance', 'Justice and injustice', 'Oppression']"
Matigari ma Njiruungi,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Power of language', 'Environmental conservation']"
The Black Hermit,Ngũgĩ wa Thiong'o,"['Indigenous knowledge', 'Religion and spirituality', 'Ethnic diversity']"
Devil on the Cross,Ngũgĩ wa Thiong'o,"['Religion and spirituality', 'Conflict in families', 'Wealth and materialism']"
A Promised Land,Barack Obama,"['Post-independence struggles', 'Civic responsibility', 'Environmental conservation']"
Ngaahika Ndeenda,Ngũgĩ wa Thiong'o,"['Power of language', 'Religion and spirituality', 'Conflict in families']"
Olympic Dream,Henry Rono,"['Dreams and ambitions', 'Greed', 'Traditional beliefs']"
How to Write About Africa,Binyavanga Wainaina,"['Wealth and materialism', 'Post-independence struggles', 'Ethnic diversity']"
The Green Cross of Kafira,Francis D. Imbuga,"['Indigenous knowledge', 'Naming and symbolism', 'Ethnic diversity']"
Minutes of Glory: And Other Stories,Ngũgĩ wa Thiong'o,"['Folklore and oral traditions', 'Storytelling as resistance', 'Morality and ethics']"
Barrel of a pen,Ngũgĩ wa Thiong'o,"['Resource exploitation', 'Indigenous knowledge', 'Power of language']"
Decolonising the Mind,Ngũgĩ wa Thiong'o,"['Oppression', 'Traditional beliefs', 'Power of language']"
Origins,Richard Leakey,"['Storytelling as resistance', 'Generosity', 'Leadership and betrayal']"
How to be kenyan,Wahome Mutahi,"['Bad governance', 'Wealth and materialism', 'Education and opportunity']"
Carcase for Hounds,Meja Mwangi,"['Greed', 'Marriage and relationships', 'Dreams and ambitions']"
"Kiswahili, past, present and future horizons",Rocha Chimera,"['Wealth and materialism', 'Religion and spirituality', 'Fate and free will']"
Coming to birth,Marjorie Oludhe Macgoye,"['Selfishness', 'Parent-child relationships', 'Poverty']"
"Weep Not, Child",Ngũgĩ wa Thiong'o,"['Parent-child relationships', 'Poverty', 'Hope and despair']"
To Stir the Heart,Ngũgĩ wa Thiong'o,"['Gender roles and feminism', 'Oppression', 'Political violence']"
A Grain of Wheat,Ngũgĩ wa Thiong'o,"['Climate and nature', 'Wealth and materialism', 'Poverty']"
The Promised Land,Grace Emily Akinyi Ogot,"['Wealth and materialism', 'Greed', 'Generosity']"
My Mother's Poem and Other Songs,Micere Githae Mugo,"['Wealth and materialism', 'Community solidarity', 'Generosity']"
THE DEAD CAME CALLING,Ndũcũ wa Ngũgĩ,"['Wealth and materialism', 'Bad governance', 'Greed']"
The Audacity of Hope,Barack Obama,"['Community solidarity', 'Youth and unemployment', 'Post-independence struggles']"
The Strange Bride,Grace Emily Akinyi Ogot,"['Wealth and materialism', 'Family unity', 'Indigenous knowledge']"
The Big Chiefs,Meja Mwangi,"['Post-independence struggles', 'Gender roles and feminism', 'Hard work']"
Olduvai Gorge; a report on the evolution of the hand-axe culture in beds I-IV,Louis Leakey,"['Indigenous knowledge', 'Cultural heritage', 'Ethnic diversity']"
Slavery and the Culture of Taste,Simon Gikandi,"['Oppression', 'Ethnic diversity', 'Poverty']"
Mtawa Mweusi,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Bad governance', 'Environmental conservation']"
Q24937593,Ben Kane,"['Parent-child relationships', 'Community solidarity', 'Oppression']"
Q24937606,Ben Kane,"['Parent-child relationships', 'Generosity', 'Oppression']"
El brujo del cuervo,Ngũgĩ wa Thiong'o,"['Conflict in families', 'Post-independence struggles', 'Power of language']"
Writing in Limbo,Simon Gikandi,"['Post-independence struggles', 'Storytelling as resistance', 'Mental health']"
Q24937567,Ben Kane,"['Parent-child relationships', 'Community solidarity', 'Generosity']"
Q130290748,Wangari Muta Maathai,"['Morality and ethics', 'Community solidarity', 'Parent-child relationships']"
Wrestling with the Devil: A Prison Memoir,Ngũgĩ wa Thiong'o,"['Folklore and oral traditions', 'Poverty', 'Bad governance']"
Globalectics: Theory and the Politics of Knowing (The Wellek Library Lectures),Ngũgĩ wa Thiong'o,"['Climate and nature', 'Ignorance', 'Indigenous knowledge']"
Nairobi Heat,Mũkoma wa Ngũgĩ,"['Wealth and materialism', 'Environmental conservation', 'Religion and spirituality']"
WEAPON OF HUNGER,Meja Mwangi,"['Wealth and materialism', 'Greed', 'Identity crisis']"
Sulwe,Lupita Nyong'o,"['Language and identity', 'Greed', 'Power of language']"
Dua ya Maarusi,Ahmad Nassir Juma Bhalo Sayyani,"['Bad governance', 'Urban vs rural life', 'Post-independence struggles']"
The Trial of Christopher Okigbo,Ali Mazrui,"['Justice and injustice', 'Poverty', 'Bad governance']"
Mau Mau From Within: The Story of the Kenya Land and Freedom Army,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Bad governance', 'Gender roles and feminism']"
Ngugi wa Thiong'o's drama and the kamiriithu popular theater experiment,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Oppression', 'Power of language']"
Foundational African Writers,Simon Gikandi,"['Wealth and materialism', 'Storytelling as resistance', 'Ethnic diversity']"
Christmas Without Tusker,Meja Mwangi,"['Conflict in families', 'Greed', 'Hope and despair']"
In the Name of the Mother: Reflections on Writers and Empire,Ngũgĩ wa Thiong'o,"['Conflict in families', 'Wealth and materialism', 'Marriage and relationships']"
This Time Tomorrow,Ngũgĩ wa Thiong'o,"['Wealth and materialism', 'Bad governance', 'Environmental conservation']"
Things they Lost,Okwiri Oduor,"['Poverty', 'Generosity', 'Greed']"
The Upright Revolution: Or Why Humans Walk Upright,Ngũgĩ wa Thiong'o,"['Environmental conservation', 'Indigenous knowledge', 'Generosity']"
Kill Me Quick,Meja Mwangi,"['Identity crisis', 'Urban vs rural life', 'Good vs evil']"
Sauti ya dhiki,Abdilatif Abdalla,"['Bad governance', 'Silence and voice', 'Fate and free will']"
Liyongo songs,Gudrun Miehe,"['Power of language', 'Urban vs rural life', 'Silence and voice']"
Mashairi ya miaka kumi ya Azimio la Arusha,Abdilatif Abdalla,"['Conflict in families', 'Bad governance', 'Identity crisis']"
"A statement given by Abdilatif Abdalla, chief co-ordinator of the United Movement for Democracy in Kenya, to the 7th Pan-African Congress, Kampala, Uganda on 3-8 April, 1994",Abdilatif Abdalla,"['Bad governance', 'Poverty', 'Corruption and governance']"
Imaginative Vision of Abdilatif Abdalla's Voice of Agony,Abdilatif Abdalla,"['Silence and voice', 'Hard work', 'Greed']"
Kale ya washairi wa Pemba,Ali bin Said bin Rashid Jahadhmiy,"['Bad governance', 'Urban vs rural life', 'Civic responsibility']"
Sambo ya Kiwandeo,Ahmed Sheikh Nabhany,"['Bad governance', 'Religion and spirituality', 'Post-independence struggles']"
Umbuji wa kiwandeo,Ahmed Sheikh Nabhany,"['Bad governance', 'Wealth and materialism', 'Post-independence struggles']"
Umbuji wa mnazi,Ahmed Sheikh Nabhany,"['Bad governance', 'Wealth and materialism', 'Poverty']"
Kilio cha haki,Ali AlʼAmin Mazrui,"['Wealth and materialism', 'Bad governance', 'Justice and injustice']"
The Africans,Ali AlʼAmin Mazrui,"['Ethnic diversity', 'Poverty', 'Oppression']"
The African condition,Ali AlʼAmin Mazrui,"['Poverty', 'Oppression', 'Greed']"
Africa's international relations,Ali AlʼAmin Mazrui,"['Greed', 'Political violence', 'Bad governance']"
Towards a Pax Africana,Ali AlʼAmin Mazrui,"['Poverty', 'Wealth and materialism', 'Morality and ethics']"
"UNESCO General History of Africa, Vol. VIII",Ali AlʼAmin Mazrui,"['Ethnic diversity', 'Environmental conservation', 'Wealth and materialism']"
The trial of Christopher Okigbo,Ali AlʼAmin Mazrui,"['Justice and injustice', 'Poverty', 'Morality and ethics']"
Euro-Jews and Afro-Arabs,Ali AlʼAmin Mazrui,"['Ethnic diversity', 'Oppression', 'Poverty']"
The political sociology of the English language,Ali AlʼAmin Mazrui,"['Oppression', 'Political violence', 'Ethnic diversity']"
The power of Babel,Ali AlʼAmin Mazrui,"['Bad governance', 'Morality and ethics', 'Poverty']"
The Warrior Tradition in Modern Africa (International Studies in Sociology and Social Anthropology),Ali AlʼAmin Mazrui,"['Wealth and materialism', 'Indigenous knowledge', 'Ethnic diversity']"
Swahili state and society,Ali AlʼAmin Mazrui,"['Poverty', 'Bad governance', 'Wealth and materialism']"
Cultural Forces in World Politics,Ali AlʼAmin Mazrui,"['Bad governance', 'Ethnic diversity', 'Wealth and materialism']"
Shadows of the moon,Ali AlʼAmin Mazrui,"['Wealth and materialism', 'Morality and ethics', 'Justice and injustice']"
Violence and thought,Ali AlʼAmin Mazrui,"['Political violence', 'Justice and injustice', 'Morality and ethics']"
World culture and the Black experience,Ali AlʼAmin Mazrui,"['Ethnic diversity', 'Indigenous knowledge', 'Oppression']"
"Power, politics, and the African condition",Ali AlʼAmin Mazrui,"['Bad governance', 'Poverty', 'Greed']"
A World Federation of Cultures,Ali AlʼAmin Mazrui,"['Ethnic diversity', 'Indigenous knowledge', 'Wealth and materialism']"
Islam,Ali AlʼAmin Mazrui,"['Morality and ethics', 'Oppression', 'Poverty']"
The Anglo-African commonwealth,Ali AlʼAmin Mazrui,"['Ethnic diversity', 'Oppression', 'Poverty']"
How Art Can Be Thought,Allan deSouza,"['Wealth and materialism', 'Folklore and oral traditions', 'Oppression']"
Ark of Martyrs,Allan Desouza,"['Greed', 'Justice and injustice', 'Folklore and oral traditions']"
"Allan deSouza, a decade of photoworks, 1998-2008",Allan DeSouza,"['Parent-child relationships', 'Hard work', 'Love and heartbreak']"
"Allan deSouza, Yong Soon Min",Allan DeSouza,"['Urban vs rural life', 'Post-independence struggles', 'Peer pressure']"
AlterNatives,Allan DeSouza,"['Greed', 'Love and heartbreak', 'Poverty']"
Crossing black waters,Allan DeSouza,"['Love and heartbreak', 'Greed', 'Fate and free will']"
Looking both ways,Laurie Ann Farrell,"['Youth and unemployment', 'Fate and free will', 'Naming and symbolism']"
Jua na Upepo,Anne Matindi,"['Wealth and materialism', 'Morality and ethics', 'Marriage and relationships']"
The lonely black pig,Anne Matindi,"['Greed', 'Selfishness', 'Wealth and materialism']"
The sun-men and other plays,Anne Matindi,"['Laziness', 'Morality and ethics', 'Greed']"
The sun and the wind,Anne Matindi,"['Climate and nature', 'Laziness', 'Wealth and materialism']"
Tax & development,Attiya Waris,"['Bad governance', 'Poverty', 'Post-independence struggles']"
Financing Africa,Attiya Waris,"['Greed', 'Poverty', 'Bad governance']"
Taxation and state building in Kenya,Attiya Waris,"['Wealth and materialism', 'Bad governance', 'Greed']"
"Tax Justice and the Political Economy of Global Capitalism, 1945 to the Present",Jeremy Leaman,"['Bad governance', 'Generosity', 'Oppression']"
Das Leben kommt immer dazwischen,Auma Obama,"['Identity crisis', 'Environmental conservation', 'Poverty']"
And Then Life Happens,Auma Obama,"['Identity crisis', 'Greed', 'Wealth and materialism']"
Leidenschaft,Auma Obama,"['Wealth and materialism', 'Marriage and relationships', 'Community solidarity']"
Day after tomorrow,Bahadur Tejani,"['Bad governance', 'Urban vs rural life', 'Post-independence struggles']"
The rape of literature,Bahadur Tejani,"['Poverty', 'Bad governance', 'Storytelling as resistance']"
Okello's Shakespeare,Bahadur Tejani,"['Poverty', 'Trauma and healing', 'Wealth and materialism']"
Laughing in the face of terrorism,Bahadur Tejani,"['Bad governance', 'Poverty', 'Justice and injustice']"
Alnoor meets George Washington,Bahadur Tejani,"['Marriage and relationships', 'Post-independence struggles', 'Wealth and materialism']"
Obamawala,Bahadur Tejani,"['Bad governance', 'Wealth and materialism', 'Poverty']"
Spartacus,Ben Kane,"['Folklore and oral traditions', 'Greed', 'Silence and voice']"
The forgotten legion,Ben Kane,"['Folklore and oral traditions', 'Trauma and healing', 'Cultural heritage']"
Enemy of Rome,Ben Kane,"['Greed', 'Political violence', 'Urbanization']"
Hannibal,Ben Kane,"['Parent-child relationships', 'Silence and voice', 'Education and opportunity']"
The Silver Eagle A Novel Of The Forgotten Legion,Ben Kane,"['Poverty', 'Folklore and oral traditions', 'Indigenous knowledge']"
Eagles at war,Ben Kane,"['Colonialism and resistance', 'Love and heartbreak', 'Folklore and oral traditions']"
Eagles in the storm,Ben Kane,"['Parent-child relationships', 'Love and heartbreak', 'Good vs evil']"
Stormcrow,Ben Kane,"['Silence and voice', 'Parent-child relationships', 'Folklore and oral traditions']"
Clash of Empires,Ben Kane,"['Greed', 'Folklore and oral traditions', 'Hard work']"
Hunting the eagles,Ben Kane,"['Parent-child relationships', 'Fate and free will', 'Resource exploitation']"
Clouds of War,Ben Kane,"['Climate and nature', 'Folklore and oral traditions', 'Justice and injustice']"
The Silver Eagle,Ben Kane,"['Parent-child relationships', 'Greed', 'Silence and voice']"
A Day of Fire,E Knight,"['Folklore and oral traditions', 'Religion and spirituality', 'Greed']"
One day I will write about this place,Binyavanga Wainaina,"['Wealth and materialism', 'Post-independence struggles', 'Bad governance']"
Discovering home,Binyavanga Wainaina,"['Post-independence struggles', 'Climate and nature', 'Indigenous knowledge']"
Beyond the River Yei,Binyavanga Wainaina,"['Post-independence struggles', 'Urban vs rural life', 'Wealth and materialism']"
Kwani? 02,Binyavanga Wainaina,"['Wealth and materialism', 'Urban vs rural life', 'Bad governance']"
Kwani? 1 (Kwani?),Binyavanga Wainaina,"['Wealth and materialism', 'Urban vs rural life', 'Religion and spirituality']"
Andreas Herzau,Andreas Herzau,"['Urbanization', 'Community solidarity', 'Oppression']"
Nguva Na Nyoka,Binyavanga Wainaina,"['Wealth and materialism', 'Bad governance', 'Gender roles and feminism']"
Algún día escribiré sobre África,Binyavanga Wainaina,"['Post-independence struggles', 'Wealth and materialism', 'Ethnic diversity']"
We the women-- for peace,Aseghedech Ghirmazion,"['Gender roles and feminism', 'Community solidarity', 'Wealth and materialism']"
Confessions of an AIDS victim,Carolyne Adalla,"['Youth and unemployment', 'Trauma and healing', 'Identity crisis']"
The position of Kiswahili in Kenya,Chacha Nyaigotti-Chacha,"['Bad governance', 'Wealth and materialism', 'Agriculture and food security']"
Mke mwenza,Chacha Nyaigotti Chacha,"['Community solidarity', 'Oppression', 'Power of language']"
Ushairi wa Abdilatif Abdalla,Chacha Nyaigotti Chacha,"['Bad governance', 'Cultural heritage', 'Gender roles and feminism']"
Wingi jeusi,Chacha Nyaigotti Chacha,"['Urban vs rural life', 'Language and identity', 'Justice and injustice']"
Hukumu,Chacha Nyaigotti Chacha,"['Agriculture and food security', 'Silence and voice', 'Justice and injustice']"
Traditional medicine in Africa,Isaac Sindiga,"['Indigenous knowledge', 'Morality and ethics', 'Wealth and materialism']"
The golden feather,Charity Waciuma,"['Generosity', 'Wealth and materialism', 'Morality and ethics']"
Daughter of Mumbi,Charity Waciuma,"['Parent-child relationships', 'Family unity', 'Wealth and materialism']"
Merry-making,Charity Waciuma,"['Generosity', 'Wealth and materialism', 'Family unity']"
"Mweru, the ostrich girl",Charity Waciuma,"['Gender roles and feminism', 'Generosity', 'Wealth and materialism']"
Who's calling?,Charity Waciuma,"['Poverty', 'Generosity', 'Wealth and materialism']"
Kenyatta's jiggers,Charles Mangua,"['Ethnic diversity', 'Oppression', 'Poverty']"
A tail in the mouth,Charles Mangua,"['Hard work', 'Parent-child relationships', 'Storytelling as resistance']"
Kanina and I,Charles Mangua,"['Conflict in families', 'Love and heartbreak', 'Marriage and relationships']"
Son of woman in Mombasa,Charles Mangua,"['Parent-child relationships', 'Conflict in families', 'Marriage and relationships']"
tail in the mouth.,Charles Mangua,"['Parent-child relationships', 'Silence and voice', 'Storytelling as resistance']"
Gambling With Destiny,Daniel Kamau,"['Fate and free will', 'Greed', 'Religion and spirituality']"
Equatorial Assignment,David Maillu,"['Generosity', 'Climate and nature', 'Hard work']"
Inheritance,David Mulwa,"['Poverty', 'Parent-child relationships', 'Cultural heritage']"
Redemption,David Mulwa,"['Fate and free will', 'Poverty', 'Justice and injustice']"
Master and Servant,David Mulwa,"['Generosity', 'Wealth and materialism', 'Poverty']"
We come in peace,David Mulwa,"['Poverty', 'Migration and diaspora', 'Fate and free will']"
"Flee, mama flee",David Mulwa,"['Poverty', 'Hope and despair', 'Migration and diaspora']"
Daraja,David Mulwa,"['Poverty', 'Bad governance', 'Fate and free will']"
Mkimbizi,David Mulwa,"['Parent-child relationships', 'Poverty', 'Bad governance']"
Clean hands,David Mulwa,"['Poverty', 'Bad governance', 'Fate and free will']"
Glasshouses,David Mulwa,"['Urbanization', 'Loneliness and isolation', 'Cultural heritage']"
"Katende says ""No""",David Mulwa,"['Poverty', 'Truth and deception', 'Religion and spirituality']"
The flame trees of Thika,Elspeth Huxley,"['Climate and nature', 'Naming and symbolism', 'Marriage and relationships']"
On the edge of the rift,Elspeth Huxley,"['Land and displacement', 'Education and opportunity', 'Climate and nature']"
Murder on Safari,Elspeth Huxley,"['Education and opportunity', 'Morality and ethics', 'Generosity']"
The African poison murders,Elspeth Huxley,"['Storytelling as resistance', 'Greed', 'Poverty']"
White man's country,Elspeth Huxley,"['Poverty', 'Storytelling as resistance', 'Climate and nature']"
Out in the Midday Sun,Elspeth Huxley,"['Climate and nature', 'Laziness', 'Education and opportunity']"
Murder at Government House,Elspeth Huxley,"['Political violence', 'Leadership and betrayal', 'Education and opportunity']"
Four Guineas,Elspeth Huxley,"['Generosity', 'Education and opportunity', 'Greed']"
Scott of the Antarctic,Elspeth Huxley,"['Education and opportunity', 'Storytelling as resistance', 'Generosity']"
Florence Nightingale,Elspeth Huxley,"['Education and opportunity', 'Generosity', 'Storytelling as resistance']"
Love among the daughters,Elspeth Huxley,"['Education and opportunity', 'Marriage and relationships', 'Parent-child relationships']"
Their shining Eldorado,Elspeth Huxley,"['Education and opportunity', 'Dreams and ambitions', 'Marriage and relationships']"
Race and politics in Kenya,Elspeth Huxley,"['Ethnic diversity', 'Poverty', 'Political violence']"
The sorcerer's apprentice,Elspeth Huxley,"['Education and opportunity', 'Generosity', 'Storytelling as resistance']"
A man from nowhere,Elspeth Huxley,"['Poverty', 'Climate and nature', 'Storytelling as resistance']"
Gallipot Eyes,Elspeth Huxley,"['Education and opportunity', 'Generosity', 'Resistance and struggle']"
Livingstone and his African journeys,Elspeth Huxley,"['Oppression', 'Generosity', 'Storytelling as resistance']"
The walled city,Elspeth Huxley,"['Urbanization', 'Education and opportunity', 'Resistance and struggle']"
Nine Faces of Kenya,Elspeth Huxley,"['Generosity', 'Greed', 'Education and opportunity']"
Mihiriga ya Agikuyu,Gakaara Wanjaũ,"['Power of language', 'Urban vs rural life', 'Conflict in families']"
"Agikuyu, Mau Mau na wiyathi =",Gakaara Wanjaũ,"['Power of language', 'Gender roles and feminism', 'Wealth and materialism']"
Writing for Kenya,Henry Muoria,"['Poverty', 'Wealth and materialism', 'Greed']"
"I, the Gikuyu, and the white fury",Henry Muoria,"['Silence and voice', 'Fate and free will', 'Hope and despair']"
A dictionary of the Nandi language,Jane Tapsubei Creider,"['Indigenous knowledge', 'Language and identity', 'Power of language']"
The shrunken dream,Jane Tapsubei Creider,"['Dreams and ambitions', 'Youth and unemployment', 'Folklore and oral traditions']"
Two lives,Jane Tapsubei Creider,"['Urbanization', 'Civic responsibility', 'Conflict in families']"
Juices,Jared Angira,"['Greed', 'Marriage and relationships', 'Silence and voice']"
The years go by,Jared Angira,"['Greed', 'Post-independence struggles', 'Generational conflict']"
Soft corals,Jared Angira,"['Marriage and relationships', 'Hard work', 'Morality and ethics']"
Silent voices; poems,Jared Angira,"['Silence and voice', 'Storytelling as resistance', 'Folklore and oral traditions']"
Cascades,Jared Angira,"['Greed', 'Marriage and relationships', 'Fate and free will']"
Lament of the silent & other poems,Jared Angira,"['Silence and voice', 'Mental health', 'Conflict in families']"
Tides of time,Jared Angira,"['Fate and free will', 'Greed', 'Love and heartbreak']"
Mau Mau kizuizini ..,Josiah Mwangi Kariuki,"['Wealth and materialism', 'Urban vs rural life', 'Marriage and relationships']"
JM Kariuki in Parliament,Josiah Mwangi Kariuki,"['Urban vs rural life', 'Bad governance', 'Trauma and healing']"
mau mau detainee ,josiah mwangi kariuki,"['Trauma and healing', 'Wealth and materialism', 'Urban vs rural life']"
Child of happy valley,Juanita Carberry,"['Parent-child relationships', 'Conflict in families', 'Marriage and relationships']"
Letzte Tage in Kenia. Meine Kindheit in Afrika.,Juanita Carberry,"['Urban vs rural life', 'Oppression', 'Wealth and materialism']"
Invisible,Kevin Mwachiro,"['Loneliness and isolation', 'Silence and voice', 'Love and heartbreak']"
Boldly queer,Theo Sandfort,"['Gender roles and feminism', 'Dreams and ambitions', 'Greed']"
The House of Rust,Khadija Abdalla Bajaber,"['Wealth and materialism', 'Indigenous knowledge', 'Conflict in families']"
Of pawns and players,Kinyanjui Kombani,"['Folklore and oral traditions', 'Greed', 'Urban vs rural life']"
The last villains of Molo,Kinyanjui Kombani,"['Urban vs rural life', 'Folklore and oral traditions', 'Justice and injustice']"
We can be friends,Kinyanjui Kombani,"['Community solidarity', 'Urban vs rural life', 'Migration and diaspora']"
Kifo kisimani,Kithaka wa Mberia,"['Wealth and materialism', 'Religion and spirituality', 'Bad governance']"
Bara jingine,Kithaka wa Mberia.,"['Bad governance', 'Urban vs rural life', 'Wealth and materialism']"
Flowers in the morning sun,Kithaka wa Mberia,"['Naming and symbolism', 'Wealth and materialism', 'Climate and nature']"
Mchezo wa karata,Kithaka wa Mberia.,"['Wealth and materialism', 'Community solidarity', 'Bad governance']"
Death at the well,Kithaka wa Mberia,"['Trauma and healing', 'Bad governance', 'Cultural heritage']"
Msimu wa tisa,Kithaka wa Mberia.,"['Power of language', 'Community solidarity', 'Wealth and materialism']"
Natala,Kithaka wa Mberia.,"['Wealth and materialism', 'Urban vs rural life', 'Bad governance']"
Maua kwenye jua la asubuhi,Kithaka wa Mberia.,"['Bad governance', 'Wealth and materialism', 'Power of language']"
A game of cards,Kithaka wa Mberia,"['Greed', 'Generosity', 'Cultural heritage']"
Another continent,Kithaka wa Mberia,"['Wealth and materialism', 'Migration and diaspora', 'Post-independence struggles']"
Redio na mwezi,Kithaka wa Mberia.,"['Power of language', 'Community solidarity', 'Wealth and materialism']"
I refuse to die,Koigi wa Wamwere.,"['Civic responsibility', 'Hope and despair', 'Religion and spirituality']"
A woman reborn,Koigi wa Wamwere.,"['Civic responsibility', 'Wealth and materialism', 'Gender roles and feminism']"
