title,author,publisher,isbn10,isbn13,language,pubdate,ol_work_key,image_url,source,description,key_isbn,key_ta,cover_i
Wizard of the Crow,Ngũgĩ wa Thiong'o,,,,Gikuyu,2006-01-01T00:00:00Z,OL15286151W,http://books.google.com/books/content?id=k5snFSTVhOsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A landmark of postcolonial African literature, Wizard of the Crow is an ambitious, magisterial, comic novel from the acclaimed Kenyan novelist, playwright, poet, and critic. “Wizard of the Crow is first and foremost a great, spellbinding tale, probably the crowning glory of Ngugi’s life’s work. . . . He has turned the power of storytelling into a weapon against totalitarianism.” —The Washington Post Book World Set in the fictional Free Republic of Aburiria, Wizard of the Crow dramatizes with corrosive humor and keenness of observation a battle for the souls of the Aburirian people, between a megalomaniac dictator and an unemployed young man who embraces the mantle of a magician. Fashioning the stories of the powerful and the ordinary into a dazzling mosaic, in this magnificent work of magical realism, Ngugi wa'Thiong'o—one of the most widely read African writers—reveals humanity in all its endlessly surprising complexity.",,wizard of the crow | ngugi wa thiong o,
Going Down River Road,Meja Mwangi,Houghton Mifflin Harcourt,0-9820126-3-2,,English,2014-06-22T00:00:00Z,,http://books.google.com/books/content?id=2wPbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"After an exhausting day of hard labour, Ben finds oblivion in the seedy bars and clubs of River Road – anything to leave his cockroach-infested rooms and ignore the reality of living paycheck to paycheck. At times, it's difficult to remember that it wasn't always this way. Somehow, he went from a promising career as a soldier to a disgraceful dismissal and a steady decline into poverty. Now the only thing Ben has left to lose is hope. Writing with colourful realism, Meja Mwangi paints an unforgettable depiction of life in Nairobi's slums – drawing attention to the hardships of the working poor and their disillusion with uncaring politicians. '[Mwangi is] among the leading Kenyan writers.' New York Times 'Riveting.' Guardian 'The finest African novel ever.' Professor Ibrahim Bello Kano",0-9820126-3-2,going down river road | meja mwangi,
The Dragonfly Sea,Yvonne Adhiambo Owuor,Alfred A. Knopf,,,English,2019-01-01T00:00:00Z,,http://books.google.com/books/content?id=2LmHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"When a contingent of cultural emissaries from China invite Ayaana abroad, she embarks on a dramatic ship's journey to the Far East, where she will make friends and enemies; and, at last, find understanding where she least expects it",,the dragonfly sea | yvonne adhiambo owuor,
Manukato ya wa mbeja,Ahmed Sheikh Nabhany,,,,Swahili,,,http://books.google.com/books/content?id=7WkaAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,,,manukato ya wa mbeja | ahmed sheikh nabhany,
Q132731040,Barack Obama,,,,Indonesian,2008-01-01T00:00:00Z,,http://books.google.com/books/content?id=T-N2AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"The only quick reference in his own words to the policitian who will be one of the highest-profile elected officials across the country, for the next two years.",,q132731040 | barack obama,
Detained: A Writer's Prison Diary,Ngũgĩ wa Thiong'o,Heinemann,0-435-90240-7,978-0-435-90240-7,English,1982-01-01T00:00:00Z,,http://books.google.com/books/content?id=yhByAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,The international outcry over the detention of Ngugi Wa Thiong'o without trial by the Kenyan authorities even reached him in prison. In this book he describes the purposeful degradation and humiliation of prison life.,978-0-435-90240-7,detained: a writer s prison diary | ngugi wa thiong o,
Facing Mount Kenya,Jomo Kenyatta,Harvill Secker,,,English,1938-01-01T00:00:00Z,,http://books.google.com/books/content?id=9muSAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"A comprehensive study of the structure of African society by one of its own leaders Jomo Kenyatta. Using a compassionate tone, describes the life, death, work, play, sex, and the family in the Kikuyu tribe.",,facing mount kenya | jomo kenyatta,
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,James Currey,0-85255-501-6,978-0-85255-501-9,English,1986-06-26T00:00:00Z,,http://books.google.com/books/content?id=z60udlv1F_cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,,978-0-85255-501-9,decolonising the mind: the politics of language in african literature | ngugi wa thiong o,
Betrayal in the City,Francis D. Imbuga,"East African Educational Publishers, Kenya",,,English,1976-12-29T00:00:00Z,OL3451029W,http://books.google.com/books/content?id=bkGBUchUC9gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Betrayal in the City, first published in 1976 and 1977, was Kenya's national entry to the Second World Black and African Festival of Arts and Culture in Lagos, Nigeria. The play is an incisive, thought-provoking examination of the problems of independence and freedom in post-colonial African states, where a sizeable number of people feel that their future is either blank or bleak. In the words of Mosese, one of the characters: ""It was better while we waited. Now we have nothing to look forward to. We have killed our past and are busy killing our future.""--Page 4 of cover",,betrayal in the city | francis d imbuga,
Haki za watoto,Ustadh Mau,,,,Swahili,,,http://books.google.com/books/content?id=Bu77EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"The present volume is a pioneering collection of poetry by the outstanding Kenyan poet, intellectual and imam Ustadh Mahmmoud Mau (born 1952) from Lamu island, once an Indian Ocean hub, now on the edge of the nation state. By means of poetry in Arabic script, the poet raises his voice against social ills and injustices troubling his community on Lamu. The book situates Mahmoud Mau’s oeuvre within transoceanic exchanges of thoughts so characteristic of the Swahili coast. It shows how Swahili Indian Ocean intellectual history inhabits an individual biography and writings. Moreover, it also portrays a unique African Muslim thinker and his poetry in the local language, which has so often been neglected as major site for critical discourse in Islamic Africa. The selected poetry is clustered around the following themes: jamii: societal topical issues, ilimu: the importance of education, huruma: social roles and responsabilities, matukio: biographical events and maombi: supplications. Prefaced by Rayya Timamy (Nairobi University), the volume includes contributions by Jasmin Mahazi, Kai Kresse and Kadara Swaleh, Annachiara Raia and Clarissa Vierke. The authors’ approaches highlight the relevance of local epistemologies as archives for understanding the relationship between reform Islam and local communities in contemporary Africa.",,haki za watoto | ustadh mau,
The Heart of a Stranger: An Anthology of Exile Literature,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2020-01-14T00:00:00Z,,http://books.google.com/books/content?id=Y9LMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A fascinatingly diverse anthology of the literature of exile, from the myths of Ancient Egypt to contemporary poetry Exile lies at the root of our earliest stories. Charting varied experiences of people forced to leave their homes from the ancient world to the present day, The Heart of a Stranger is an anthology of poetry, fiction and non-fiction that journeys through six continents, with over a hundred contributors drawn from twenty-four languages. Highlights include the wisdom of the 5th century Desert Fathers and Mothers, the Swahili Song of Liyongo, The Flight of the Irish Earls, Emma Goldman's travails in the wake of the First Red Scare, the Syrian poet Nizar Qabbani's ode to the lost world of Andalusia and the work of contemporary Eritrean fabulist Ribka Sibhatu. Edited by poet and translator André Naffis-Sahely, The Heart of a Stranger offers a uniquely varied look at a theme both ancient and urgently contemporary.",,the heart of a stranger: an anthology of exile literature | ngugi wa thiong o,
The Cockroach Dance,Meja Mwangi,Houghton Mifflin Harcourt,1-5485-8057-0,,English,2013-08-06T00:00:00Z,,http://books.google.com/books/content?id=to6ovQ8TGCAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Dusman Gonzaga lives in an old apartment building overrun by cockroaches and squalor. The building, Dacca House, is owned by Tumbo Kubwa, a mindless slum lord, and occupied by a strange mix of characters; from garbage collectors to hawkers, from con men to witch doctors from genii to mad men. In this crazy world of wild adventures and appalling poverty, Dusman tries to organize the tenants to boycott paying rent in a desperate move to force the landlord to listen to their woes.",1-5485-8057-0,the cockroach dance | meja mwangi,
"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey",Louis Leakey,,,,,1951-01-01T00:00:00Z,,http://books.google.com/books/content?id=MYxFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,,,preliminary excavations of a mesolithic site at abinger common surrey | louis leakey,
Petals of Blood,Ngũgĩ wa Thiong'o,Heinemann,,,Gikuyu,1977-01-01T00:00:00Z,,http://books.google.com/books/content?id=owRz6pGiRKoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Ngugi Wa Thiong'o is one of the most important contemporary world writers--his name has for many become synonymous with cultural controversy and political struggle. Patrick William's lucid analysis offers the most up-to-date study of Ngugi's writing, including his most recent collections of essays. Focusing on important aspects of Ngugi's more obscure works, and drawing on a wide range of relevant theoretical perspectives, this study examines the growing complexity of Ngugi's accounts of the history of colonized and postcolonial Kenya.",,petals of blood | ngugi wa thiong o,
The Climate Book,Wanjira Mathai,,,,English,2022-10-27T00:00:00Z,OL27820822W,http://books.google.com/books/content?id=4R3gEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A NEW YORK TIMES BESTSELLER We still have time to change the world. From climate activist Greta Thunberg, comes the essential handbook for making it happen. You might think it's an impossible task: secure a safe future for life on Earth, at a scale and speed never seen, against all the odds. There is hope—but only if we listen to the science before it's too late. In The Climate Book, Greta Thunberg has gathered the wisdom of over one hundred experts—geophysicists, oceanographers and meteorologists; engineers, economists and mathematicians; historians, philosophers and Indigenous leaders—to equip us all with the knowledge we need to combat climate disaster. Alongside them, she shares her own stories of demonstrating and uncovering greenwashing around the world, revealing how much we have been kept in the dark. This is one of our biggest challenges, she shows, but also our greatest source of hope. Once we are given the full picture, how can we not act? And if a schoolchild's strike could ignite a global protest, what could we do collectively if we tried? We are alive at the most decisive time in the history of humanity. Together, we can do the seemingly impossible. But it has to be us, and it has to be now.",,the climate book | wanjira mathai,
Without kiinua mgongo,David Maillu,,,,Sheng,1989-01-01T00:00:00Z,OL1785981W,http://books.google.com/books/content?id=bdKeoiwpWc4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"In the African context, there exists the 'myth' that orality means tradition. Written and oral verbal art are often regarded as dichotomies, one excluding the other. While orature is confused with 'tradition', literature is ascribed to modernity. Furthermore, local languages are ignored and literature is equated with writing in foreign languages. The contributions in this volume take issue with such preconceptions and explore the multiple ways in which literary and oral forms interrelate and subvert each other, giving birth to new forms of artistic expression. They emphasize the local agency of the African poet and writer, which resists the global commodification of literature through the international bestseller lists of the cultural industry. The first section traces the movement from oral to written texts, which in many cases coincides with a switch from African to European languages. But as the essays in the section on ""New Literary Languages"" make clear, in other cases a true philological work is accomplished in the African language to create a new written and literary medium. Through the mixing of languages in the cities, such as the Sheng spoken in Kenya or the bilinguality of a writer such as Cheik Aliou Ndao (Senegal), new idioms for literary expressions evolve. The use of new media, technology or music stimulate the emergence of new genres, such as Taarab in East Africa, radio poetry in Yoruba and Hausa, or Rap in the Senegal, as is shown in the section on ""Forms of New Orality."" It is a great achievement of this second volume of Versions and Subversions in African Literatures that it assembles contributions by scholars from the anglophone and the francophone world and that it covers literary production in a broad spectrum of languages: English, French, Hausa, Sheng, Sotho, Spanish, Swahili, Wolof and Yoruba. Some of the authors and cultural practitioners treated in detail are: Mobolaij Adenubi, Birago Diop, Boubacar Boris Diop, David Maillu, Thomas Mofolo, Cheik Aliou Ndao, Donato Ndongo-Bidyogo, Hubert Ogunde, Shaaban Robert, Wole Soyinka, Ibrahim YaroYahaya, and Sénouvo Agbota Zinsou.",,without kiinua mgongo | david maillu,
Burying Caesar,Meja Mwangi,Independently Published book edition,88-565-2671-3,,English,2023-08-09T00:00:00Z,,http://books.google.com/books/content?id=HpOUDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"This study offers a literary history of the war novel in Africa. Coundouriotis argues that this genre, aimed more specifically at African readers than the continent’s better-known bildungsroman tradition, nevertheless makes an important intervention in global understandings of human rights. The African war novel lies at the convergence of two sensibilities it encounters in European traditions: the naturalist aesthetic and the discourse of humanitarianism, whether in the form of sentimentalism or of human rights law. Both these sensibilities are present in culturally hybrid forms in the African war novel, reflecting its syncretism as a narrative practice engaged with the colonial and postcolonial history of the continent. The war novel, Coundouriotis argues, stakes claims to collective rights that contrast with the individualism of the bildungsroman tradition. The genre is a form of people’s history that participates in a political struggle for the rights of the dispossessed.",88-565-2671-3,burying caesar | meja mwangi,
Writers in Politics,Ngũgĩ wa Thiong'o,Heinemann,0-435-91751-X,978-0-435-91751-7,English,1981-01-01T00:00:00Z,,http://books.google.com/books/content?id=PRvQBuDFp9QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,This book reflects many of the concerns found in Decolonising the Mind and Moving the Centre.,978-0-435-91751-7,writers in politics | ngugi wa thiong o,
Uhuru wa Watumwa,James Mbotela,,,,,,,http://books.google.com/books/content?id=o063rsBCIvMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Africa is a marriage of cultures: African and Asian, Islamic and Euro-Christian. Nowhere is this fusion more evident than in the formation of Swahili, Eastern Africa's lingua franca, and its cultures. Swahili Beyond the Boundaries: Literature, Language, and Identity addresses the moving frontiers of Swahili literature under the impetus of new waves of globalization in the twentieth and twenty-first centuries. These momentous changes have generated much theoretical debate on several literary fronts, as Swahili literature continues to undergo transformation in the mill of human creativity. Swahili literature is a hybrid that is being reconfigured by a conjuncture of global and local forces. As the interweaving of elements of the colonizer and the colonized, this hybrid formation provides a representation of cultural difference that is said to constitute a ""third space,"" blurring existing boundaries and calling into question established identitarian categorizations. This cultural dialectic is clearly evident in the Swahili literary experience as it has evolved in the crucible of the politics of African cultural production. However, Swahili Beyond the Boundaries demonstrates that, from the point of view of Swahili literature, while hybridity evokes endless openness on questions of home and identity, it can simultaneously put closure on specific forms of subjectivity. In the process of this contestation, a new synthesis may be emerging that is poised to subject Swahili literature to new kinds of challenges in the politics of identity, compounded by the dynamics and counterdynamics of post-Cold War globalization.",,uhuru wa watumwa | james mbotela,
The New Harvest: Agricultural Innovation in Africa,Calestous Juma,,,,,2011-01-01T00:00:00Z,,http://books.google.com/books/content?id=1rRoAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"African agriculture is currently at a crossroads, at which persistent food shortages are compounded by threats from climate change. But, as this book argues, Africa faces three major opportunities that can transform its agriculture into a force for economic growth: advances in science and technology; the creation of regional markets; and the emergence of a new crop of entrepreneurial leaders dedicated to the continent's economic improvement. Filled with case studies from within Africa and success stories from developing nations around the world, The New Harvest outlines the policies and institutional changes necessary to promote agricultural innovation across the African continent. Incorporating research from academia, government, civil society, and private industry, the book suggests multiple ways that individual African countries can work together at the regional level to develop local knowledge and resources, harness technological innovation, encourage entrepreneurship, increase agricultural output, create markets, and improve infrastructure.",,the new harvest: agricultural innovation in africa | calestous juma,
Of Thee I Sing,Barack Obama,Alfred A. Knopf,,,English,2010-01-01T00:00:00Z,OL15897399W,http://books.google.com/books/content?id=xxSPDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Barack Obama delivers a tender, beautiful letter to his daughters in this powerful picture book illustrated by award-winner Loren Long that's made to be treasured! In this poignant letter to his daughters, Barack Obama has written a moving tribute to thirteen groundbreaking Americans and the ideals that have shaped our nation. From the artistry of Georgia O'Keeffe, to the courage of Jackie Robinson, to the patriotism of George Washington, Obama sees the traits of these heroes within his own children, and within all of America’s children. Breathtaking, evocative illustrations by award-winning artist Loren Long at once capture the personalities and achievements of these great Americans and the innocence and promise of childhood. This beautiful book celebrates the characteristics that unite all Americans, from our nation’s founders to generations to come. It is about the potential within each of us to pursue our dreams and forge our own paths. It is a treasure to cherish with your family forever.",,of thee i sing | barack obama,
Travelling while Black,Nanjala Nyabola,Hurst & Co.,,,English,2020-01-01T00:00:00Z,OL25758708W,http://books.google.com/books/content?id=UK8SEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Thoughtful and original reflections on migration, identity and the experiences of a black woman abroad.",,travelling while black | nanjala nyabola,
Unbowed,Wangari Muta Maathai,,,,English,2006-10-03T00:00:00Z,OL15606734M,http://books.google.com/books/content?id=l2N-0aShSGAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"NOBEL PRIZE WINNER • A remarkable memoir of courage, faith, and the power of persistence about one woman's extraodinary journey from her childhood in rural Kenya to the world stage. “[Maathai’s] story provides uplifting proof of the power of perseverance—and of the power of principled, passionate people to change their countries and inspire the world.” —The Washington Post In Unbowed, Nobel Prize winner Wangari Maathai recounts her extraordinary life. When Maathai founded the Green Belt Movement in 1977, she began a vital poor people’s environmental movement, focused on the empowerment of women, that soon spread across Africa. Persevering through run-ins with the Kenyan government and personal losses, and jailed and beaten on numerous occasions, Maathai continued to fight tirelessly to save Kenya’s forests and to restore democracy to her beloved country.",,unbowed | wangari muta maathai,
The Perfect Nine,Ngũgĩ wa Thiong'o,Harvill Secker,,,English,2020-10-08T00:00:00Z,,http://books.google.com/books/content?id=35_LDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A dazzling, genre-defying novel in verse from the author Delia Owens says “tackles the absurdities, injustices, and corruption of a continent” Ngũgĩ wa Thiong’o’s novels and memoirs have received glowing praise from the likes of President Barack Obama, the New Yorker, the New York Times Book Review, The Guardian, and NPR; he has been a finalist for the Man International Booker Prize and was annually tipped to win the Nobel Prize for Literature; and his books have sold tens of thousands of copies around the world. In his first attempt at the epic form, Ngũgĩ tells the story of the founding of the Gĩkũyũ people of Kenya, from a strongly feminist perspective. A verse narrative, blending folklore, mythology, adventure, and allegory, The Perfect Nine chronicles the efforts the Gĩkũyũ founders make to find partners for their ten beautiful daughters—called “The Perfect Nine” —and the challenges they set for the 99 suitors who seek their hands in marriage. The epic has all the elements of adventure, with suspense, danger, humor, and sacrifice. Ngũgĩ’s epic is a quest for the beautiful as an ideal of living, as the motive force behind migrations of African peoples. He notes, “The epic came to me one night as a revelation of ideals of quest, courage, perseverance, unity, family; and the sense of the divine, in human struggles with nature and nurture.”",,the perfect nine | ngugi wa thiong o,
Links of a Chain,Monica Genya,,,,,,,http://books.google.com/books/content?id=O_I0fGyyvwQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Kenya is suddenly rocked by a mysterious wave of high-level murders. Who is behind it? and why are the Cabinet being targeted? Christopher Mathenge sets out to find the answers, and finds himself in an intricate web of love, romance, deceit, murder and death.",,links of a chain | monica genya,
Secure the Base,Ngũgĩ wa Thiong'o,Seagull Books,,,English,2016-01-01T00:00:00Z,OL26221969W,http://books.google.com/books/content?id=N4l2EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"The Decolonial Politics and Philosophy of Ngugi wa Thiong’o offers a critical analysis of Ngugi wa Thiong’o epistemic journey from a communalist, communist, nationalist, post-colonial theorist, and ultimately an established decolonial spokesperson of the Global South in the league of Paulo Freire, Edward Said, and Frantz Fanon. Through a reading of his novels and essays, this book provides insight into wa Thiong’o’s decolonial thought that was established within his overarching philosophy and later became the organizing idea for wa Thiong’o’s political activism. Brian Sibanda presents wa Thiong’o as an example of a philosopher within the Global South who has unmasked coloniality, shining light where Eurocentrism has cast darkness. This book offers a fresh perspective for scholars and readers interested in decolonial theory and African philosophy.",,secure the base | ngugi wa thiong o,
Secret Lives and Other Stories,Ngũgĩ wa Thiong'o,,,,English,1975-01-01T00:00:00Z,OL10244W,http://books.google.com/books/content?id=-wbOwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"Ngugi wa Thiong'o is renowned for his political novels and plays, yet he honed his craft as a short story writer. First published in 1975, Secret Lives and Other Stories brings together a range of Ngugi's political short stories. From tales of the meeting between magic and superstition, to stories about the modernising forces of colonialism, and the pervasive threat of nature, this collection celebrates the storytelling might of one of Africa's best-loved writers.",,secret lives and other stories | ngugi wa thiong o,
Matigari A Novel,Ngũgĩ wa Thiong'o,Africa World Press,,,English,1998-01-01T00:00:00Z,,http://books.google.com/books/content?id=zazOchpSJ_gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,In 1994 over 200 students from Universities world wide gathered in celebration of the work of Ngugi wa Thiong'o. The best papers and discussions are collected here.,,matigari a novel | ngugi wa thiong o,
