title,author,publisher,isbn10,isbn13,language,pubdate,ol_work_key,image_url,source,description,key_isbn,key_ta,cover_i,title_norm,author_norm,year,_year_bucket,_text,item_id,themes
Wizard of the Crow,Ngũgĩ wa Thiong'o,,,,Gikuyu,2006-01-01,OL15286151W,http://books.google.com/books/content?id=k5snFSTVhOsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A landmark of postcolonial African literature, Wizard of the Crow is an ambitious, magisterial, comic novel from the acclaimed Kenyan novelist, playwright, poet, and critic. “Wizard of the Crow is first and foremost a great, spellbinding tale, probably the crowning glory of Ngugi’s life’s work. . . . He has turned the power of storytelling into a weapon against totalitarianism.” —The Washington Post Book World Set in the fictional Free Republic of Aburiria, Wizard of the Crow dramatizes with corrosive humor and keenness of observation a battle for the souls of the Aburirian people, between a megalomaniac dictator and an unemployed young man who embraces the mantle of a magician. Fashioning the stories of the powerful and the ordinary into a dazzling mosaic, in this magnificent work of magical realism, Ngugi wa'Thiong'o—one of the most widely read African writers—reveals humanity in all its endlessly surprising complexity.",,wizard of the crow | ngugi wa thiong o,,wizard of the crow,ngugi wa thiong o,2006.0,05-14,"Wizard of the Crow 
Ngũgĩ wa Thiong'o 
",10,"['Power of language', 'Folklore and oral traditions', 'Indigenous knowledge']"
Going Down River Road,Meja Mwangi,Houghton Mifflin Harcourt,0-9820126-3-2,,English,2014-06-22,,http://books.google.com/books/content?id=2wPbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"After an exhausting day of hard labour, Ben finds oblivion in the seedy bars and clubs of River Road – anything to leave his cockroach-infested rooms and ignore the reality of living paycheck to paycheck. At times, it's difficult to remember that it wasn't always this way. Somehow, he went from a promising career as a soldier to a disgraceful dismissal and a steady decline into poverty. Now the only thing Ben has left to lose is hope. Writing with colourful realism, Meja Mwangi paints an unforgettable depiction of life in Nairobi's slums – drawing attention to the hardships of the working poor and their disillusion with uncaring politicians. '[Mwangi is] among the leading Kenyan writers.' New York Times 'Riveting.' Guardian 'The finest African novel ever.' Professor Ibrahim Bello Kano",0-9820126-3-2,going down river road | meja mwangi,,going down river road,meja mwangi,2014.0,05-14,"Going Down River Road 
Meja Mwangi 
Houghton Mifflin Harcourt",11,"['Urbanization', 'Urban vs rural life', 'Bad governance']"
The Dragonfly Sea,Yvonne Adhiambo Owuor,Alfred A. Knopf,,,English,2019-01-01,,http://books.google.com/books/content?id=2LmHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"When a contingent of cultural emissaries from China invite Ayaana abroad, she embarks on a dramatic ship's journey to the Far East, where she will make friends and enemies; and, at last, find understanding where she least expects it",,the dragonfly sea | yvonne adhiambo owuor,,the dragonfly sea,yvonne adhiambo owuor,2019.0,15-19,"The Dragonfly Sea 
Yvonne Adhiambo Owuor 
Alfred A. Knopf",12,"['Urban vs rural life', 'Oppression', 'Gender roles and feminism']"
Manukato ya wa mbeja,Ahmed Sheikh Nabhany,,,,Swahili,,,http://books.google.com/books/content?id=7WkaAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,,,manukato ya wa mbeja | ahmed sheikh nabhany,,manukato ya wa mbeja,ahmed sheikh nabhany,,,"Manukato ya wa mbeja 
Ahmed Sheikh Nabhany 
",13,"['Bad governance', 'Gender roles and feminism', 'Religion and spirituality']"
Q132731040,Barack Obama,,,,Indonesian,2008-01-01,,http://books.google.com/books/content?id=EDNyAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"The only quick reference in his own words to the policitian who will be one of the highest-profile elected officials across the country, for the next two years.",,q132731040 | barack obama,,q132731040,barack obama,2008.0,05-14,"Q132731040 
Barack Obama 
",14,"['Identity crisis', 'Community solidarity', 'Civic responsibility']"
Detained: A Writer's Prison Diary,Ngũgĩ wa Thiong'o,Heinemann,0-435-90240-7,978-0-435-90240-7,English,1982-01-01,,http://books.google.com/books/content?id=yhByAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,The international outcry over the detention of Ngugi Wa Thiong'o without trial by the Kenyan authorities even reached him in prison. In this book he describes the purposeful degradation and humiliation of prison life.,978-0-435-90240-7,detained: a writer s prison diary | ngugi wa thiong o,,detained a writer s prison diary,ngugi wa thiong o,1982.0,80-94,"Detained: A Writer's Prison Diary 
Ngũgĩ wa Thiong'o 
Heinemann",15,"['Oppression', 'Justice and injustice', 'Poverty']"
Facing Mount Kenya,Jomo Kenyatta,Harvill Secker,,,English,1938-01-01,,http://books.google.com/books/content?id=9muSAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"A comprehensive study of the structure of African society by one of its own leaders Jomo Kenyatta. Using a compassionate tone, describes the life, death, work, play, sex, and the family in the Kikuyu tribe.",,facing mount kenya | jomo kenyatta,,facing mount kenya,jomo kenyatta,1938.0,<1960,"Facing Mount Kenya 
Jomo Kenyatta 
Harvill Secker",16,"['Wealth and materialism', 'Bad governance', 'Generosity']"
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,James Currey,0-85255-501-6,978-0-85255-501-9,English,1986-06-26,,http://books.google.com/books/content?id=Dgk7EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Ngugi wrote his first novels and plays in English but was determined, even before his detention without trial in 1978, to move to writing in Gikuyu.",978-0-85255-501-9,decolonising the mind: the politics of language in african literature | ngugi wa thiong o,,decolonising the mind the politics of language in african literature,ngugi wa thiong o,1986.0,80-94,"Decolonising the Mind: The Politics of Language in African Literature 
Ngũgĩ wa Thiong'o 
James Currey",17,"['Power of language', 'Wealth and materialism', 'Oppression']"
Betrayal in the City,Francis D. Imbuga,"East African Educational Publishers, Kenya",,,English,1976-12-29,OL3451029W,http://books.google.com/books/content?id=bkGBUchUC9gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Betrayal in the City, first published in 1976 and 1977, was Kenya's national entry to the Second World Black and African Festival of Arts and Culture in Lagos, Nigeria. The play is an incisive, thought-provoking examination of the problems of independence and freedom in post-colonial African states, where a sizeable number of people feel that their future is either blank or bleak. In the words of Mosese, one of the characters: ""It was better while we waited. Now we have nothing to look forward to. We have killed our past and are busy killing our future.""--Page 4 of cover",,betrayal in the city | francis d imbuga,,betrayal in the city,francis d imbuga,1976.0,60-79,"Betrayal in the City 
Francis D. Imbuga 
East African Educational Publishers, Kenya",18,"['Wealth and materialism', 'Bad governance', 'Greed']"
Haki za watoto,Ustadh Mau,,,,Swahili,,,http://books.google.com/books/content?id=Bu77EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"The present volume is a pioneering collection of poetry by the outstanding Kenyan poet, intellectual and imam Ustadh Mahmmoud Mau (born 1952) from Lamu island, once an Indian Ocean hub, now on the edge of the nation state. By means of poetry in Arabic script, the poet raises his voice against social ills and injustices troubling his community on Lamu. The book situates Mahmoud Mau’s oeuvre within transoceanic exchanges of thoughts so characteristic of the Swahili coast. It shows how Swahili Indian Ocean intellectual history inhabits an individual biography and writings. Moreover, it also portrays a unique African Muslim thinker and his poetry in the local language, which has so often been neglected as major site for critical discourse in Islamic Africa. The selected poetry is clustered around the following themes: jamii: societal topical issues, ilimu: the importance of education, huruma: social roles and responsabilities, matukio: biographical events and maombi: supplications. Prefaced by Rayya Timamy (Nairobi University), the volume includes contributions by Jasmin Mahazi, Kai Kresse and Kadara Swaleh, Annachiara Raia and Clarissa Vierke. The authors’ approaches highlight the relevance of local epistemologies as archives for understanding the relationship between reform Islam and local communities in contemporary Africa.",,haki za watoto | ustadh mau,,haki za watoto,ustadh mau,,,"Haki za watoto 
Ustadh Mau 
",19,"['Wealth and materialism', 'Community solidarity', 'Gender roles and feminism']"
The Heart of a Stranger: An Anthology of Exile Literature,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2020-01-14,,http://books.google.com/books/content?id=Y9LMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A fascinatingly diverse anthology of the literature of exile, from the myths of Ancient Egypt to contemporary poetry Exile lies at the root of our earliest stories. Charting varied experiences of people forced to leave their homes from the ancient world to the present day, The Heart of a Stranger is an anthology of poetry, fiction and non-fiction that journeys through six continents, with over a hundred contributors drawn from twenty-four languages. Highlights include the wisdom of the 5th century Desert Fathers and Mothers, the Swahili Song of Liyongo, The Flight of the Irish Earls, Emma Goldman's travails in the wake of the First Red Scare, the Syrian poet Nizar Qabbani's ode to the lost world of Andalusia and the work of contemporary Eritrean fabulist Ribka Sibhatu. Edited by poet and translator André Naffis-Sahely, The Heart of a Stranger offers a uniquely varied look at a theme both ancient and urgently contemporary.",,the heart of a stranger: an anthology of exile literature | ngugi wa thiong o,,the heart of a stranger an anthology of exile literature,ngugi wa thiong o,2020.0,15-19,"The Heart of a Stranger: An Anthology of Exile Literature 
Ngũgĩ wa Thiong'o 
Amazon Kindle",20,"['Folklore and oral traditions', 'Poverty', 'Storytelling as resistance']"
The Cockroach Dance,Meja Mwangi,Houghton Mifflin Harcourt,1-5485-8057-0,,English,2013-08-06,,http://books.google.com/books/content?id=to6ovQ8TGCAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Dusman Gonzaga lives in an old apartment building overrun by cockroaches and squalor. The building, Dacca House, is owned by Tumbo Kubwa, a mindless slum lord, and occupied by a strange mix of characters; from garbage collectors to hawkers, from con men to witch doctors from genii to mad men. In this crazy world of wild adventures and appalling poverty, Dusman tries to organize the tenants to boycott paying rent in a desperate move to force the landlord to listen to their woes.",1-5485-8057-0,the cockroach dance | meja mwangi,,the cockroach dance,meja mwangi,2013.0,05-14,"The Cockroach Dance 
Meja Mwangi 
Houghton Mifflin Harcourt",21,"['Power of language', 'Conflict in families', 'Indigenous knowledge']"
"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey",Louis Leakey,,,,,1951-01-01,,http://books.google.com/books/content?id=MYxFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,,,preliminary excavations of a mesolithic site at abinger common surrey | louis leakey,,preliminary excavations of a mesolithic site at abinger common surrey,louis leakey,1951.0,<1960,"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey 
Louis Leakey 
",22,"['Generosity', 'Resource exploitation', 'Land and displacement']"
Petals of Blood,Ngũgĩ wa Thiong'o,Heinemann,,,Gikuyu,1977-01-01,,http://books.google.com/books/content?id=9Nh5DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,,,petals of blood | ngugi wa thiong o,,petals of blood,ngugi wa thiong o,1977.0,60-79,"Petals of Blood 
Ngũgĩ wa Thiong'o 
Heinemann",23,"['Naming and symbolism', 'Wealth and materialism', 'Trauma and healing']"
The Climate Book,Wanjira Mathai,,,,English,2022-10-27,OL27820822W,http://books.google.com/books/content?id=4R3gEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A NEW YORK TIMES BESTSELLER We still have time to change the world. From climate activist Greta Thunberg, comes the essential handbook for making it happen. You might think it's an impossible task: secure a safe future for life on Earth, at a scale and speed never seen, against all the odds. There is hope—but only if we listen to the science before it's too late. In The Climate Book, Greta Thunberg has gathered the wisdom of over one hundred experts—geophysicists, oceanographers and meteorologists; engineers, economists and mathematicians; historians, philosophers and Indigenous leaders—to equip us all with the knowledge we need to combat climate disaster. Alongside them, she shares her own stories of demonstrating and uncovering greenwashing around the world, revealing how much we have been kept in the dark. This is one of our biggest challenges, she shows, but also our greatest source of hope. Once we are given the full picture, how can we not act? And if a schoolchild's strike could ignite a global protest, what could we do collectively if we tried? We are alive at the most decisive time in the history of humanity. Together, we can do the seemingly impossible. But it has to be us, and it has to be now.",,the climate book | wanjira mathai,,the climate book,wanjira mathai,2022.0,2020+,"The Climate Book 
Wanjira Mathai 
",24,"['Climate and nature', 'Environmental conservation', 'Urban vs rural life']"
Without kiinua mgongo,David Maillu,,,,Sheng,1989-01-01,OL1785981W,http://books.google.com/books/content?id=bdKeoiwpWc4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"In the African context, there exists the 'myth' that orality means tradition. Written and oral verbal art are often regarded as dichotomies, one excluding the other. While orature is confused with 'tradition', literature is ascribed to modernity. Furthermore, local languages are ignored and literature is equated with writing in foreign languages. The contributions in this volume take issue with such preconceptions and explore the multiple ways in which literary and oral forms interrelate and subvert each other, giving birth to new forms of artistic expression. They emphasize the local agency of the African poet and writer, which resists the global commodification of literature through the international bestseller lists of the cultural industry. The first section traces the movement from oral to written texts, which in many cases coincides with a switch from African to European languages. But as the essays in the section on ""New Literary Languages"" make clear, in other cases a true philological work is accomplished in the African language to create a new written and literary medium. Through the mixing of languages in the cities, such as the Sheng spoken in Kenya or the bilinguality of a writer such as Cheik Aliou Ndao (Senegal), new idioms for literary expressions evolve. The use of new media, technology or music stimulate the emergence of new genres, such as Taarab in East Africa, radio poetry in Yoruba and Hausa, or Rap in the Senegal, as is shown in the section on ""Forms of New Orality."" It is a great achievement of this second volume of Versions and Subversions in African Literatures that it assembles contributions by scholars from the anglophone and the francophone world and that it covers literary production in a broad spectrum of languages: English, French, Hausa, Sheng, Sotho, Spanish, Swahili, Wolof and Yoruba. Some of the authors and cultural practitioners treated in detail are: Mobolaij Adenubi, Birago Diop, Boubacar Boris Diop, David Maillu, Thomas Mofolo, Cheik Aliou Ndao, Donato Ndongo-Bidyogo, Hubert Ogunde, Shaaban Robert, Wole Soyinka, Ibrahim YaroYahaya, and Sénouvo Agbota Zinsou.",,without kiinua mgongo | david maillu,,without kiinua mgongo,david maillu,1989.0,80-94,"Without kiinua mgongo 
David Maillu 
",25,"['Poverty', 'Religion and spirituality', 'Dreams and ambitions']"
Burying Caesar,Meja Mwangi,Independently Published book edition,88-565-2671-3,,English,2023-08-09,,http://books.google.com/books/content?id=HpOUDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"This study offers a literary history of the war novel in Africa. Coundouriotis argues that this genre, aimed more specifically at African readers than the continent’s better-known bildungsroman tradition, nevertheless makes an important intervention in global understandings of human rights. The African war novel lies at the convergence of two sensibilities it encounters in European traditions: the naturalist aesthetic and the discourse of humanitarianism, whether in the form of sentimentalism or of human rights law. Both these sensibilities are present in culturally hybrid forms in the African war novel, reflecting its syncretism as a narrative practice engaged with the colonial and postcolonial history of the continent. The war novel, Coundouriotis argues, stakes claims to collective rights that contrast with the individualism of the bildungsroman tradition. The genre is a form of people’s history that participates in a political struggle for the rights of the dispossessed.",88-565-2671-3,burying caesar | meja mwangi,,burying caesar,meja mwangi,2023.0,2020+,"Burying Caesar 
Meja Mwangi 
Independently Published book edition",26,"['Indigenous knowledge', 'Hope and despair', 'Environmental conservation']"
Writers in Politics,Ngũgĩ wa Thiong'o,Heinemann,0-435-91751-X,978-0-435-91751-7,English,1981-01-01,,http://books.google.com/books/content?id=PRvQBuDFp9QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,This book reflects many of the concerns found in Decolonising the Mind and Moving the Centre.,978-0-435-91751-7,writers in politics | ngugi wa thiong o,,writers in politics,ngugi wa thiong o,1981.0,80-94,"Writers in Politics 
Ngũgĩ wa Thiong'o 
Heinemann",27,"['Poverty', 'Political violence', 'Bad governance']"
Uhuru wa Watumwa,James Mbotela,,,,,,,http://books.google.com/books/content?id=o063rsBCIvMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Africa is a marriage of cultures: African and Asian, Islamic and Euro-Christian. Nowhere is this fusion more evident than in the formation of Swahili, Eastern Africa's lingua franca, and its cultures. Swahili Beyond the Boundaries: Literature, Language, and Identity addresses the moving frontiers of Swahili literature under the impetus of new waves of globalization in the twentieth and twenty-first centuries. These momentous changes have generated much theoretical debate on several literary fronts, as Swahili literature continues to undergo transformation in the mill of human creativity. Swahili literature is a hybrid that is being reconfigured by a conjuncture of global and local forces. As the interweaving of elements of the colonizer and the colonized, this hybrid formation provides a representation of cultural difference that is said to constitute a ""third space,"" blurring existing boundaries and calling into question established identitarian categorizations. This cultural dialectic is clearly evident in the Swahili literary experience as it has evolved in the crucible of the politics of African cultural production. However, Swahili Beyond the Boundaries demonstrates that, from the point of view of Swahili literature, while hybridity evokes endless openness on questions of home and identity, it can simultaneously put closure on specific forms of subjectivity. In the process of this contestation, a new synthesis may be emerging that is poised to subject Swahili literature to new kinds of challenges in the politics of identity, compounded by the dynamics and counterdynamics of post-Cold War globalization.",,uhuru wa watumwa | james mbotela,,uhuru wa watumwa,james mbotela,,,"Uhuru wa Watumwa 
James Mbotela 
",28,"['Post-independence struggles', 'Wealth and materialism', 'Migration and diaspora']"
The New Harvest: Agricultural Innovation in Africa,Calestous Juma,,,,,2011-01-01,,http://books.google.com/books/content?id=1rRoAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"African agriculture is currently at a crossroads, at which persistent food shortages are compounded by threats from climate change. But, as this book argues, Africa faces three major opportunities that can transform its agriculture into a force for economic growth: advances in science and technology; the creation of regional markets; and the emergence of a new crop of entrepreneurial leaders dedicated to the continent's economic improvement. Filled with case studies from within Africa and success stories from developing nations around the world, The New Harvest outlines the policies and institutional changes necessary to promote agricultural innovation across the African continent. Incorporating research from academia, government, civil society, and private industry, the book suggests multiple ways that individual African countries can work together at the regional level to develop local knowledge and resources, harness technological innovation, encourage entrepreneurship, increase agricultural output, create markets, and improve infrastructure.",,the new harvest: agricultural innovation in africa | calestous juma,,the new harvest agricultural innovation in africa,calestous juma,2011.0,05-14,"The New Harvest: Agricultural Innovation in Africa 
Calestous Juma 
",29,"['Wealth and materialism', 'Greed', 'Environmental conservation']"
